hashtag,popularity,category,recent_post_count,popular_sample_count,avg_likes,avg_comments,source_seed,collected_at
france,6.0,meta_live_related,1,,1.0,1.0,germany,2026-05-06 12:44:38
frankfurterchorverband,6.0,meta_live_related,1,,4.0,0.0,kinderchor,2026-05-06 12:44:38
장량성당,5.0,meta_live_related,1,,3.0,0.0,성가대,2026-05-06 12:44:38
화답송,5.0,meta_live_related,1,,3.0,0.0,성가대,2026-05-06 12:44:38
칸타타,5.0,meta_live_related,1,,3.0,0.0,성가대,2026-05-06 12:44:38
하늘정원교회,5.0,meta_live_related,1,,3.0,0.0,성가대,2026-05-06 12:44:38
유성,5.0,meta_live_related,1,,3.0,0.0,성가대,2026-05-06 12:44:38
부활절예배,5.0,meta_live_related,1,,3.0,0.0,성가대,2026-05-06 12:44:38
dil,5.0,meta_live_related,1,,0.0,1.0,chor,2026-05-06 12:44:38
fypppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,5.0,meta_live_related,1,,0.0,1.0,germany,2026-05-06 12:44:38
funnymeme,5.0,meta_live_related,1,,0.0,1.0,chor,2026-05-06 12:44:38
기독교대한감리회,5.0,meta_live_related,1,,3.0,0.0,성가대,2026-05-06 12:44:38
viraltravel,5.0,meta_live_related,1,,0.0,1.0,germany,2026-05-06 12:44:38
부활절,5.0,meta_live_related,1,,3.0,0.0,성가대,2026-05-06 12:44:38
대전,5.0,meta_live_related,1,,3.0,0.0,성가대,2026-05-06 12:44:38
jaan,5.0,meta_live_related,1,,0.0,1.0,chor,2026-05-06 12:44:38
성당일상,5.0,meta_live_related,1,,3.0,0.0,성가대,2026-05-06 12:44:38
소프라노,5.0,meta_live_related,1,,3.0,0.0,성가대,2026-05-06 12:44:38
germanytravel,5.0,meta_live_related,1,,0.0,1.0,germany,2026-05-06 12:44:38
kai,5.0,meta_live_related,1,,0.0,1.0,chor,2026-05-06 12:44:38
laga,5.0,meta_live_related,1,,0.0,1.0,chor,2026-05-06 12:44:38
murshidabad,5.0,meta_live_related,1,,0.0,1.0,chor,2026-05-06 12:44:38
satisfying,5.0,meta_live_related,1,,0.0,1.0,chor,2026-05-06 12:44:38
workshop,4.0,meta_live_related,1,,2.0,0.0,kinderchor,2026-05-06 12:44:38
seminar,4.0,meta_live_related,1,,2.0,0.0,kinderchor,2026-05-06 12:44:38
schwäbischerchorverband,4.0,meta_live_related,1,,2.0,0.0,kinderchor,2026-05-06 12:44:38
scoialmedia,4.0,meta_live_related,1,,2.0,0.0,kinderchor,2026-05-06 12:44:38
jugenchor,4.0,meta_live_related,1,,2.0,0.0,kinderchor,2026-05-06 12:44:38
betterthanyou,3.0,meta_live_related,1,,1.0,0.0,germany,2026-05-06 12:44:38
minecraft,3.0,meta_live_related,1,,1.0,0.0,germany,2026-05-06 12:44:38
funfact,3.0,meta_live_related,1,,1.0,0.0,germany,2026-05-06 12:44:38
dubai,2.0,meta_live_related,1,,0.0,0.0,germany,2026-05-06 12:44:38
usa,2.0,meta_live_related,1,,0.0,0.0,germany,2026-05-06 12:44:38
schweiz,2.0,meta_live_related,1,,0.0,0.0,germany,2026-05-06 12:44:38
london,2.0,meta_live_related,1,,0.0,0.0,germany,2026-05-06 12:44:38
österreich,2.0,meta_live_related,1,,0.0,0.0,germany,2026-05-06 12:44:38
love,2.0,meta_live_related,1,,0.0,0.0,germany,2026-05-06 12:44:38
소년합창단,0.0,meta_live_seed,0,0.0,0.0,0.0,소년합창단,2026-05-06 12:43:46
boychoir,0.0,meta_live_seed,0,0.0,0.0,0.0,boychoir,2026-05-06 12:43:02
