date,year,post_folder,post_title,source,source_url,image_count,category,event,location,mood,reels_usable,caption_summary,original_caption_path,korean_translation_path,english_translation_path,notes
2015-04-04,2015,01_ORIGINAL_BY_YEAR/2015/2015-04-04_post_001_matthaeuspassion_ostern,Matthaeuspassion Ostern,Facebook - Münchner Knabenchor,TEMP_URL,2,Church_Cathedral,Matthäuspassion,,Easter,yes,"Die tradtitionsreiche Aufführung der Matthäuspassion unter der Leitung von Enoch zu Guttenberg durfte dieses Jahr der MÜNCHNER KNABENCHOR musikalisch mitgestalten. 25 Knaben sangen im ersten Teil des Konzerts die beiden Teile der Passionsliturgie ""O Lamm Gottes unschuldig"" und ""O Mensch bewein dein Sünde groß"". Nach der Pause trugen einige Knabensolisten sowie sechs Männer den Choral ""O Haupt voll Blut und Wunden"" vor. Mit dieser musikalischen Einstimmung auf die nahenden Feiertage wünschen wir all unseren Mitgliedern, Freunden und Unterstützern ein gesegnetes Osterfest.",01_ORIGINAL_BY_YEAR/2015/2015-04-04_post_001_matthaeuspassion_ostern/caption_original.txt,01_ORIGINAL_BY_YEAR/2015/2015-04-04_post_001_matthaeuspassion_ostern/caption_ko.txt,,Caption mentions Enoch zu Guttenberg and Easter wishes.
2015-04-13,2015,01_ORIGINAL_BY_YEAR/2015/2015-04-13_post_001_elias_muenchner_philharmonie,Elias Muenchner Philharmonie,Facebook - Münchner Knabenchor,TEMP_URL,2,Concert,Elias,Münchner Philharmonie / Gasteig,Classical concert,yes,"Dreimal ""Elias"" in der Münchner Philharmonie Am 10./11./12. April sangen zwei unserer Sopransolisten abwechselnd den Knabenpart in Felix Mendelssohn Bartholdys “Elias” unter Mitwirkung der Münchner Philharmoniker und des Philharmonischen Chor München im dreimal nahezu ausverkauften Gasteig. Auch Dirigent Andrew Manze gratulierte den jungen Künstlern zu ihrer gesanglichen Leistung",01_ORIGINAL_BY_YEAR/2015/2015-04-13_post_001_elias_muenchner_philharmonie/caption_original.txt,01_ORIGINAL_BY_YEAR/2015/2015-04-13_post_001_elias_muenchner_philharmonie/caption_ko.txt,,"Caption mentions Felix Mendelssohn Bartholdy, Münchner Philharmoniker, Philharmonischer Chor München, and Andrew Manze."
2015-04-20,2015,01_ORIGINAL_BY_YEAR/2015/2015-04-20_post_001_konzertwochenende_euba_logistic_moz,Konzertwochenende Euba Logistic MOZ,Facebook - Münchner Knabenchor,TEMP_URL,1,Press_Article,Konzertwochenende,,Tour report,maybe,"Ein konzert- und ereignisreiches Wochenende mit vielen wunderbaren Menschen und Eindrücken liegt hinter uns. Die Presse vor Ort hat die Veranstaltungen sowie die Reaktionen des Publikums auf unsere Auftritte in einem Zeitungsbericht zusammengefasst, den Sie unter http://www.moz.de/lokales/artikel-ansicht/dg/0/1/1384138/ aufrufen können. Wir bedanken und herzlich bei der Firma Euba Logistic für die Einladung und die tollen Tage! Weitere Fotoeindrücke finden Sie unter: http://www.moz.de/galerie/uebersicht/g3/361193/",01_ORIGINAL_BY_YEAR/2015/2015-04-20_post_001_konzertwochenende_euba_logistic_moz/caption_original.txt,01_ORIGINAL_BY_YEAR/2015/2015-04-20_post_001_konzertwochenende_euba_logistic_moz/caption_ko.txt,,"Caption includes MOZ article and gallery URLs, preserved as text only. Caption thanks Euba Logistic."
2015-04-29,2015,01_ORIGINAL_BY_YEAR/2015/2015-04-29_post_001_countdown_orchesterkonzert_generalprobe,Countdown Orchesterkonzert Generalprobe,Facebook - Münchner Knabenchor,TEMP_URL,1,Rehearsal,Orchesterkonzert Generalprobe,München,Countdown,yes,"Der Countdown läuft... ...für unser Konzert mit Orchesterbegleitung, in dem wir uns am morgigen Donnerstag, 30. April offiziell in unserer Geburtsstadt vorstellen und unser halbjähriges Bestehen feiern wollen. Hier sehen Sie ein Foto von unserer Generalprobe am Dienstag während des Gloria von Antonio Vivaldi. Die Bläser warten derweil auf ihren musikalischen Einsatz im Mozart Requiem.",01_ORIGINAL_BY_YEAR/2015/2015-04-29_post_001_countdown_orchesterkonzert_generalprobe/caption_original.txt,01_ORIGINAL_BY_YEAR/2015/2015-04-29_post_001_countdown_orchesterkonzert_generalprobe/caption_ko.txt,,Caption mentions Vivaldi Gloria and Mozart Requiem.
2015-05-01,2015,01_ORIGINAL_BY_YEAR/2015/2015-05-01_post_001_no_caption_photos,No Caption Photos,Facebook - Münchner Knabenchor,TEMP_URL,61,Unknown,,,,maybe,,,,,
2015-05-11,2015,01_ORIGINAL_BY_YEAR/2015/2015-05-11_post_001_vahrn_neustift_brixen,Vahrn Neustift Brixen Weekend,Facebook - Münchner Knabenchor,TEMP_URL,4,Tour_Travel,Frühlingskonzert / Gottesdienst,Vahrn / Neustift bei Brixen,Spring concert trip,yes,"Unser Wochenende in Vahrn und Neustift bei Brixen: Zusammen mit dem Männerchor Neustift gab der Münchner Knabenchor am Samstagabend ein fröhliches, buntgemischtes Frühlingskonzert. Am nächsten Morgen durften die Knaben den Sonntagsgottesdienst in der wunderschönen Klosterkirche Neustift mitgestalten. Anschließend gab es ein leckeres Mittagessen und viel Freizeit bei schönstem Südtiroler Bergwetter.",01_ORIGINAL_BY_YEAR/2015/2015-05-11_post_001_vahrn_neustift_brixen/caption_original.txt,01_ORIGINAL_BY_YEAR/2015/2015-05-11_post_001_vahrn_neustift_brixen/caption_ko.txt,,"Caption mentions Männerchor Neustift, Klosterkirche Neustift, and Südtirol."
2015-05-18,2015,01_ORIGINAL_BY_YEAR/2015/2015-05-18_post_001_kleines_sommerfestival_schlosspark_gauting,Kleines Sommerfestival Schlosspark Gauting,Facebook - Münchner Knabenchor,TEMP_URL,2,Concert,Kleines Sommerfestival,Schlosspark Gauting,Summer festival,yes,"Beim ""Kleinen Sommerfestival"" im Schlosspark Gauting trat ein Teil der Münchner Knaben mit einem buntgemischten Programm auf, das von klassischen Werken bis zu Liedern aus dem Bereich Rock/Pop reichte. Die romantische Remise mit ihrer abenteuerlichen Kulisse bot hierbei den idealen Rahmen für einen abwechslungsreichen Sonntag Vormittag.",01_ORIGINAL_BY_YEAR/2015/2015-05-18_post_001_kleines_sommerfestival_schlosspark_gauting/caption_original.txt,01_ORIGINAL_BY_YEAR/2015/2015-05-18_post_001_kleines_sommerfestival_schlosspark_gauting/caption_ko.txt,,Caption mentions classical works and rock/pop songs.
2015-06-26,2015,01_ORIGINAL_BY_YEAR/2015/2015-06-26_post_001_erste_cd_aufnahme,Erste CD Aufnahme,Facebook - Münchner Knabenchor,TEMP_URL,1,Posters_Programs,Erste CD-Aufnahme,,Announcement,maybe,"Aufgrund der großen Nachfrage von Veranstaltern, Interessenten und Fans werden wir Mitte Juli unsere erste CD aufnehmen. Diese wird eine bunte Mischung aus verschiedenen Musikrichtungen beinhalten. Alte Musik wird ebeno zu hören sein wie traditionelles alpenländisches und deutsches Liedgut sowie moderne Kompositionen aus den Bereichen Gospel, Rock und Pop. Die CD erscheint nach den Sommerferien rechtzeitig zum ersten Geburtstag des MÜNCHNER KNABENCHORES.",01_ORIGINAL_BY_YEAR/2015/2015-06-26_post_001_erste_cd_aufnahme/caption_original.txt,01_ORIGINAL_BY_YEAR/2015/2015-06-26_post_001_erste_cd_aufnahme/caption_ko.txt,,Caption announces first CD recording planned for mid-July. Mentions first birthday of the choir after summer holidays.
2015-07-10,2015,01_ORIGINAL_BY_YEAR/2015/2015-07-10_post_001_sommerkonzert_hallelujah,Sommerkonzert Hallelujah,Facebook - Münchner Knabenchor,TEMP_URL,8,Concert,Sommerkonzert,,Summer concert,yes,"Zum Sommerkonzert, bei dem alle Chorstufen - also auch unsere jungen Nachwuchssänger mit ihrem frisch einstudierten Repertoire - auf der Bühne stehen durften, kamen viele Freunde und Bekannte unserer Chorfamilien, trotz schönstem Sonnenschein und Temperaturen über 35 Grad. Neben einem bunten Mix aus verschiedenen Musikrichtungen war der musikalische Höhepunkt des Nachmittags das ""Hallelujah"" von Leonard Cohen, bei dem das Publikum gerne der herzlichen Einladung nachkam, ebenfalls die Stimme zu erheben und in den allseits bekannten Refrain mit einzustimmen.",01_ORIGINAL_BY_YEAR/2015/2015-07-10_post_001_sommerkonzert_hallelujah/caption_original.txt,01_ORIGINAL_BY_YEAR/2015/2015-07-10_post_001_sommerkonzert_hallelujah/caption_ko.txt,,"Caption mentions all choir levels, young Nachwuchssänger, hot weather, and Leonard Cohen's Hallelujah."
2015-07-14,2015,01_ORIGINAL_BY_YEAR\2015\2015-07-14_post_001_am_vergangenen_wochenende_fand_der_erste_teil_de,Am vergangenen Wochenende fand der erste Teil der Aufnahmen für unsere,Facebook - Münchner Knabenchor,https://www.facebook.com/photo/?fbid=985039341540994&set=a.555223323076188,1,Unknown,,,,maybe,"Am vergangenen Wochenende fand der erste Teil der Aufnahmen für unsere CD statt, die im Herbst erscheinen wird. Kurz vor den Sommerferien produzieren wir dan...",01_ORIGINAL_BY_YEAR\2015\2015-07-14_post_001_am_vergangenen_wochenende_fand_der_erste_teil_de\caption_original.txt,01_ORIGINAL_BY_YEAR\2015\2015-07-14_post_001_am_vergangenen_wochenende_fand_der_erste_teil_de\caption_ko.txt,,
2015-07-31,2015,01_ORIGINAL_BY_YEAR\2015\2015-07-31_post_001_mit_einem_leckeren_und_reichhaltigen_picknick_ve,Mit einem leckeren und reichhaltigen Picknick verabschiedeten sich die,Facebook - Münchner Knabenchor,https://www.facebook.com/photo/?fbid=993716797339915&set=a.555223323076188,1,Unknown,,,,maybe,Mit einem leckeren und reichhaltigen Picknick verabschiedeten sich die Knaben des Chor 2 und deren Eltern von ihren Chorfreunden in den wohlverdienten Sommer...,01_ORIGINAL_BY_YEAR\2015\2015-07-31_post_001_mit_einem_leckeren_und_reichhaltigen_picknick_ve\caption_original.txt,01_ORIGINAL_BY_YEAR\2015\2015-07-31_post_001_mit_einem_leckeren_und_reichhaltigen_picknick_ve\caption_ko.txt,,
2015-08-24,2015,01_ORIGINAL_BY_YEAR\2015\2015-08-24_post_001_vorankundigung_unserer_ibiza_reise_in_den_medien,Vorankündigung unserer Ibiza-Reise in den Medien:,Facebook - Münchner Knabenchor,https://www.facebook.com/photo/?fbid=1006604159384512&set=a.555223323076188,1,Unknown,,,,maybe,Vorankündigung unserer Ibiza-Reise in den Medien:,01_ORIGINAL_BY_YEAR\2015\2015-08-24_post_001_vorankundigung_unserer_ibiza_reise_in_den_medien\caption_original.txt,01_ORIGINAL_BY_YEAR\2015\2015-08-24_post_001_vorankundigung_unserer_ibiza_reise_in_den_medien\caption_ko.txt,,
2015-08-31,2015,01_ORIGINAL_BY_YEAR\2015\2015-08-31_post_001_abflug_von_munchen_nach_ibiza,Abflug von München nach Ibiza,Facebook - Münchner Knabenchor,https://www.facebook.com/photo?fbid=1010183422359919&set=ms.c.eJw1y8ENwDAIA8CNKgzBmP0Xq0rD96SDwaA47pHd6AcDlfZBAgulZLvAC6opoS3SD7XQPoW8pe1Em6d0FsgBYkEYOHwBIN4ekw~-~-.bps.a.1010182222360039,9,Unknown,,,,maybe,Abflug von München nach Ibiza,01_ORIGINAL_BY_YEAR\2015\2015-08-31_post_001_abflug_von_munchen_nach_ibiza\caption_original.txt,01_ORIGINAL_BY_YEAR\2015\2015-08-31_post_001_abflug_von_munchen_nach_ibiza\caption_ko.txt,,
2015-09-05,2015,01_ORIGINAL_BY_YEAR\2015\2015-09-05_post_001_konzert_in_der_vollbesetzten_kirche_in_santa_eul,Konzert in der vollbesetzten Kirche in Santa Eularia nach der Generalp,Facebook - Münchner Knabenchor,https://www.facebook.com/photo?fbid=1013425275369067&set=ms.c.eJw9kMENBDEIAzs6ATEG~_m~%3BsFLLwHXmwhYoemFv4YQnjpw0AzRBDcoC7yfGUAY68IPQMiLjKcRlQdhNk7VHeFkV~_gIJWbG5QqxXYKHw7OLW03sGzw9hK1CqRrWBro1vgu7TyDRuAfAlsQqX~%3BkfgDcLM5gg~-~-.bps.a.1013424168702511,17,Unknown,,,,maybe,Konzert in der vollbesetzten Kirche in Santa Eularia nach der Generalprobe Zugaben nach dem Gottesdienst Generalprobe coole Transportmittel Für alle gibt es...,01_ORIGINAL_BY_YEAR\2015\2015-09-05_post_001_konzert_in_der_vollbesetzten_kirche_in_santa_eul\caption_original.txt,01_ORIGINAL_BY_YEAR\2015\2015-09-05_post_001_konzert_in_der_vollbesetzten_kirche_in_santa_eul\caption_ko.txt,,
2015-09-16,2015,01_ORIGINAL_BY_YEAR\2015\2015-09-16_post_001_wir_feiern_unseren_1_geburtstag_heute_vor_einem,"Wir feiern unseren 1. Geburtstag Heute vor einem Jahr, am 16. Septembe",Facebook - Münchner Knabenchor,https://www.facebook.com/photo/?fbid=1020445594667035&set=pcb.1020446328000295,2,Unknown,,,,maybe,"Wir feiern unseren 1. Geburtstag Heute vor einem Jahr, am 16. September 2014, fand unsere erste Chorprobe statt. Mittlerweile hat sich die Zahl der Mitgliede...",01_ORIGINAL_BY_YEAR\2015\2015-09-16_post_001_wir_feiern_unseren_1_geburtstag_heute_vor_einem\caption_original.txt,01_ORIGINAL_BY_YEAR\2015\2015-09-16_post_001_wir_feiern_unseren_1_geburtstag_heute_vor_einem\caption_ko.txt,,
2015-09-17,2015,01_ORIGINAL_BY_YEAR\2015\2015-09-17_post_001_unser_geburtstagsgeschenk_der_munchner_knabencho,Unser Geburtstagsgeschenk: der MÜNCHNER KNABENCHOR Tourbus Pünktlich z,Facebook - Münchner Knabenchor,https://www.facebook.com/photo/?fbid=1020956911282570&set=a.555223323076188,1,Unknown,,,,maybe,Unser Geburtstagsgeschenk: der MÜNCHNER KNABENCHOR Tourbus Pünktlich zum 1. Geburtstag hat das Busunternehmen Gerhardt eines ihrer Fahrzeuge als Tourbus umfu...,01_ORIGINAL_BY_YEAR\2015\2015-09-17_post_001_unser_geburtstagsgeschenk_der_munchner_knabencho\caption_original.txt,01_ORIGINAL_BY_YEAR\2015\2015-09-17_post_001_unser_geburtstagsgeschenk_der_munchner_knabencho\caption_ko.txt,,
2015-09-17,2015,01_ORIGINAL_BY_YEAR\2015\2015-09-17_post_002_grunder_des_monats_unter_dieser_rubrik_wurde_der,Gründer des Monats... unter dieser Rubrik wurde der MÜNCHNER KNABENCHO,Facebook - Münchner Knabenchor,https://www.facebook.com/photo?fbid=1020964447948483&set=pcb.1020968047948123,2,Unknown,,,,maybe,"Gründer des Monats... unter dieser Rubrik wurde der MÜNCHNER KNABENCHOR in einem 2-seitigen Artikel des Wirtschaftsmagazins ""impulse"" in seiner Ausgabe 9/15...",01_ORIGINAL_BY_YEAR\2015\2015-09-17_post_002_grunder_des_monats_unter_dieser_rubrik_wurde_der\caption_original.txt,01_ORIGINAL_BY_YEAR\2015\2015-09-17_post_002_grunder_des_monats_unter_dieser_rubrik_wurde_der\caption_ko.txt,,
2015-10-12,2015,01_ORIGINAL_BY_YEAR\2015\2015-10-12_post_001_vor_dem_zauberflotenplakat_angekommen_eine_rundf,vor dem Zauberflötenplakat ...angekommen ... eine Rundfahrt am Cana,Facebook - Münchner Knabenchor,https://www.facebook.com/photo/?fbid=1032203000157961&set=ms.c.eJw9z9sNBDEIA8COTmDMq~%3B~%3BGTmFDfkcYg4oBYiKinh360wFUR4FhdcGkja0oXwAGEgv0E~%3BF64LPD4~_2IPi3Vb6J8IOMCvxZ9LcQcVtQHOWBcYEyE20L~%3BWmRbGDkTyIX8IvoiVedSWl9wmV8I~%3BAFb2Tlb.bps.a.1032202870157974,17,Unknown,,,,maybe,...vor dem Zauberflötenplakat ...angekommen ... eine Rundfahrt am Canal Grande ...hier wird fleißig gebaut ...letzte Instruktionen vor der Bühnenprobe ... na...,01_ORIGINAL_BY_YEAR\2015\2015-10-12_post_001_vor_dem_zauberflotenplakat_angekommen_eine_rundf\caption_original.txt,01_ORIGINAL_BY_YEAR\2015\2015-10-12_post_001_vor_dem_zauberflotenplakat_angekommen_eine_rundf\caption_ko.txt,,
2015-10-15,2015,01_ORIGINAL_BY_YEAR\2015\2015-10-15_post_001_tolle_proben_mit_unserem_dirigenten_antonello_ma,Tolle Proben mit unserem Dirigenten Antonello Manacorda,Facebook - Münchner Knabenchor,https://www.facebook.com/photo/?fbid=1033350623376532&set=a.555223323076188,1,Unknown,,,,maybe,Tolle Proben mit unserem Dirigenten Antonello Manacorda,01_ORIGINAL_BY_YEAR\2015\2015-10-15_post_001_tolle_proben_mit_unserem_dirigenten_antonello_ma\caption_original.txt,01_ORIGINAL_BY_YEAR\2015\2015-10-15_post_001_tolle_proben_mit_unserem_dirigenten_antonello_ma\caption_ko.txt,,
2015-10-19,2015,01_ORIGINAL_BY_YEAR\2015\2015-10-19_post_001_wir_feiern_unsere_gelungene_generalprobe_in_eine,Wir feiern unsere gelungene Generalprobe in einem tollen venezianische,Facebook - Münchner Knabenchor,https://www.facebook.com/photo?fbid=1035160799862181&set=a.555223323076188,1,Unknown,,,,maybe,Wir feiern unsere gelungene Generalprobe in einem tollen venezianischen Ristorante,01_ORIGINAL_BY_YEAR\2015\2015-10-19_post_001_wir_feiern_unsere_gelungene_generalprobe_in_eine\caption_original.txt,01_ORIGINAL_BY_YEAR\2015\2015-10-19_post_001_wir_feiern_unsere_gelungene_generalprobe_in_eine\caption_ko.txt,,
2015-10-21,2015,01_ORIGINAL_BY_YEAR\2015\2015-10-21_post_001_erste_eindrucke_von_unserer_zauberfloten_premier,Erste Eindrücke von unserer Zauberflöten-Premiere in Venedig. Weitere,Facebook - Münchner Knabenchor,https://www.facebook.com/photo?fbid=1036163096428618&set=pcb.1036165326428395,4,Unknown,,,,maybe,Erste Eindrücke von unserer Zauberflöten-Premiere in Venedig. Weitere folgen...,01_ORIGINAL_BY_YEAR\2015\2015-10-21_post_001_erste_eindrucke_von_unserer_zauberfloten_premier\caption_original.txt,01_ORIGINAL_BY_YEAR\2015\2015-10-21_post_001_erste_eindrucke_von_unserer_zauberfloten_premier\caption_ko.txt,,
2015-10-22,2015,01_ORIGINAL_BY_YEAR\2015\2015-10-22_post_001_vor_und_nach_der_premiere_ein_standchen_und_leck,Vor und nach der Premiere. Ein Ständchen und leckeres Essen auf der Pr,Facebook - Münchner Knabenchor,https://www.facebook.com/photo?fbid=1036159826428945&set=pcb.1036226333088961,3,Unknown,,,,maybe,Vor und nach der Premiere. Ein Ständchen und leckeres Essen auf der Premierenfeier...,01_ORIGINAL_BY_YEAR\2015\2015-10-22_post_001_vor_und_nach_der_premiere_ein_standchen_und_leck\caption_original.txt,01_ORIGINAL_BY_YEAR\2015\2015-10-22_post_001_vor_und_nach_der_premiere_ein_standchen_und_leck\caption_ko.txt,,
2015-10-26,2015,01_ORIGINAL_BY_YEAR\2015\2015-10-26_post_001_premiere_kritiken_bilder_stimmlich_brilliant_wie,"Premiere/Kritiken/Bilder ...""Stimmlich brilliant (wie selten gehört) u",Facebook - Münchner Knabenchor,https://www.facebook.com/photo?fbid=1038247349553526&set=ms.c.eJw9zcsNwDAIA9CNqmAwmP0Xq0qTXJ~%3B8seVClEeTTuRjAy0mrDvwA4MOKS1sJzJtKt0XlMACLxQnIR6QD1RtKOtvVHUShZ6EnxdhRtd9UfKrFPoFzXYl2w~-~-.bps.a.1038246552886939,11,Unknown,,,,maybe,"Premiere/Kritiken/Bilder ...""Stimmlich brilliant (wie selten gehört) und sicher auf der Bühne (wie selten zuvor gesehen) war der Auftritt der drei Knaben des...",01_ORIGINAL_BY_YEAR\2015\2015-10-26_post_001_premiere_kritiken_bilder_stimmlich_brilliant_wie\caption_original.txt,01_ORIGINAL_BY_YEAR\2015\2015-10-26_post_001_premiere_kritiken_bilder_stimmlich_brilliant_wie\caption_ko.txt,,
2015-11-06,2015,01_ORIGINAL_BY_YEAR\2015\2015-11-06_post_001_unsere_fur_diesen_herbst_angekundigte_erste_cd_i,Unsere für diesen Herbst angekündigte erste CD ist da. Rechtzeitig zum,Facebook - Münchner Knabenchor,https://www.facebook.com/photo/?fbid=1042816389096622&set=a.555223323076188,1,Unknown,,,,maybe,Unsere für diesen Herbst angekündigte erste CD ist da. Rechtzeitig zum Weihnachtsgeschäft präsentieren wir Auszüge aus unserem breitgefächerten Repertoire. D...,01_ORIGINAL_BY_YEAR\2015\2015-11-06_post_001_unsere_fur_diesen_herbst_angekundigte_erste_cd_i\caption_original.txt,01_ORIGINAL_BY_YEAR\2015\2015-11-06_post_001_unsere_fur_diesen_herbst_angekundigte_erste_cd_i\caption_ko.txt,,
2015-11-16,2015,01_ORIGINAL_BY_YEAR\2015\2015-11-16_post_001_wir_freuen_uns_uber_die_gelungenene_zauberfloten,Wir freuen uns über die gelungenene Zauberflöten-Premiere im Prinzrege,Facebook - Münchner Knabenchor,https://www.facebook.com/photo?fbid=1047160448662216&set=pcb.1047160828662178,3,Unknown,,,,maybe,Wir freuen uns über die gelungenene Zauberflöten-Premiere im Prinzregententheater München,01_ORIGINAL_BY_YEAR\2015\2015-11-16_post_001_wir_freuen_uns_uber_die_gelungenene_zauberfloten\caption_original.txt,01_ORIGINAL_BY_YEAR\2015\2015-11-16_post_001_wir_freuen_uns_uber_die_gelungenene_zauberfloten\caption_ko.txt,,
2015-12-01,2015,01_ORIGINAL_BY_YEAR\2015\2015-12-01_post_001_in_bad_hindelang_stehen_derzeit_einer_unserer_so,In Bad Hindelang stehen derzeit einer unserer Solisten sowie einige Mü,Facebook - Münchner Knabenchor,https://www.facebook.com/photo?fbid=1053542794690648&set=pcb.1053545358023725,4,Unknown,,,,maybe,"In Bad Hindelang stehen derzeit einer unserer Solisten sowie einige Münchner Nachwuchs-Knaben auf der Bühne des Erlebnis-Weihnachtsmarktes, in dessen Rahmen...",01_ORIGINAL_BY_YEAR\2015\2015-12-01_post_001_in_bad_hindelang_stehen_derzeit_einer_unserer_so\caption_original.txt,01_ORIGINAL_BY_YEAR\2015\2015-12-01_post_001_in_bad_hindelang_stehen_derzeit_einer_unserer_so\caption_ko.txt,,
2015-12-25,2015,01_ORIGINAL_BY_YEAR\2015\2015-12-25_post_001_nach_mehr_als_55_auftritten_in_unserem_ersten_ko,Nach mehr als 55 Auftritten in unserem ersten kompletten Kalenderjahr,Facebook - Münchner Knabenchor,https://www.facebook.com/photo/?fbid=1065086463536281&set=a.555223323076188,1,Unknown,,,,maybe,"Nach mehr als 55 Auftritten in unserem ersten kompletten Kalenderjahr bedanken wir uns bei unseren Knaben, Chorfamilien, Kollegen, Fans und Förderern für ihr...",01_ORIGINAL_BY_YEAR\2015\2015-12-25_post_001_nach_mehr_als_55_auftritten_in_unserem_ersten_ko\caption_original.txt,01_ORIGINAL_BY_YEAR\2015\2015-12-25_post_001_nach_mehr_als_55_auftritten_in_unserem_ersten_ko\caption_ko.txt,,
2016-01-01,2016,01_ORIGINAL_BY_YEAR\2016\2016-01-01_post_001_herzliche_grue_und_die_besten_wunsche_fur_2016_z,Herzliche Grüße und die besten Wünsche für 2016! Zur Versüßung der zuk,Facebook - Münchner Knabenchor,https://www.facebook.com/photo/?fbid=1069247366453524&set=a.555223323076188,1,Unknown,,,,maybe,Herzliche Grüße und die besten Wünsche für 2016! Zur Versüßung der zukünftigen Chorproben freuen wir uns über unseren Neuzugang in Form dieser schmucken Popc...,01_ORIGINAL_BY_YEAR\2016\2016-01-01_post_001_herzliche_grue_und_die_besten_wunsche_fur_2016_z\caption_original.txt,01_ORIGINAL_BY_YEAR\2016\2016-01-01_post_001_herzliche_grue_und_die_besten_wunsche_fur_2016_z\caption_ko.txt,,
2016-01-13,2016,01_ORIGINAL_BY_YEAR\2016\2016-01-13_post_001_so_schnell_wird_aus_einem_armen_vernachlassigten,"So schnell wird aus einem armen, vernachlässigten Jungen wieder ein fr",Facebook - Münchner Knabenchor,https://www.facebook.com/photo?fbid=1075782599133334&set=pcb.1075785625799698,2,Unknown,,,,maybe,"So schnell wird aus einem armen, vernachlässigten Jungen wieder ein fröhlicher Sängerknabe. Hier unser Sopran Maxi während und nach seinem Auftritt als Waise...",01_ORIGINAL_BY_YEAR\2016\2016-01-13_post_001_so_schnell_wird_aus_einem_armen_vernachlassigten\caption_original.txt,01_ORIGINAL_BY_YEAR\2016\2016-01-13_post_001_so_schnell_wird_aus_einem_armen_vernachlassigten\caption_ko.txt,,
2016-01-18,2016,01_ORIGINAL_BY_YEAR\2016\2016-01-18_post_001_hochstes_niveau_beim_solisten_konzert_am_vergang,Höchstes Niveau beim Solisten-Konzert Am vergangenen Samstag erlebten,Facebook - Münchner Knabenchor,https://www.facebook.com/photo/?fbid=1078029215575339&set=a.555223323076188,1,Unknown,,,,maybe,Höchstes Niveau beim Solisten-Konzert Am vergangenen Samstag erlebten die Zuhörer des sehr gut besuchten Konzertes Musik aus verschiedenen Epochen auf höchst...,01_ORIGINAL_BY_YEAR\2016\2016-01-18_post_001_hochstes_niveau_beim_solisten_konzert_am_vergang\caption_original.txt,01_ORIGINAL_BY_YEAR\2016\2016-01-18_post_001_hochstes_niveau_beim_solisten_konzert_am_vergang\caption_ko.txt,,
2016-01-19,2016,01_ORIGINAL_BY_YEAR\2016\2016-01-19_post_001_neuigkeiten_fur_alle_mkc_anhanger_der_munchner_k,"Neuigkeiten für alle MKC-""Anhänger"": Der MÜNCHNER KNABENCHOR zieht um!",Facebook - Münchner Knabenchor,https://www.facebook.com/photo/?fbid=1078946212150306&set=a.555223323076188,1,Unknown,,,,maybe,"Neuigkeiten für alle MKC-""Anhänger"": Der MÜNCHNER KNABENCHOR zieht um! Seit Gründung des MKC vor rund 15 Monaten hat sich die Anzahl der Sänger bis Januar 20...",01_ORIGINAL_BY_YEAR\2016\2016-01-19_post_001_neuigkeiten_fur_alle_mkc_anhanger_der_munchner_k\caption_original.txt,01_ORIGINAL_BY_YEAR\2016\2016-01-19_post_001_neuigkeiten_fur_alle_mkc_anhanger_der_munchner_k\caption_ko.txt,,
2016-01-23,2016,01_ORIGINAL_BY_YEAR\2016\2016-01-23_post_001_eine_kleine_abordnung_des_munchner_knabenchores,Eine kleine Abordnung des MÜNCHNER KNABENCHORES zu Gast im Münchner Ra,Facebook - Münchner Knabenchor,https://www.facebook.com/photo?fbid=1080512068660387&set=pcb.1080548328656761,2,Unknown,,,,maybe,Eine kleine Abordnung des MÜNCHNER KNABENCHORES zu Gast im Münchner Rathaus...,01_ORIGINAL_BY_YEAR\2016\2016-01-23_post_001_eine_kleine_abordnung_des_munchner_knabenchores\caption_original.txt,01_ORIGINAL_BY_YEAR\2016\2016-01-23_post_001_eine_kleine_abordnung_des_munchner_knabenchores\caption_ko.txt,,
2016-01-25,2016,01_ORIGINAL_BY_YEAR\2016\2016-01-25_post_001_eine_etwas_andere_chorstunde_einen_lustigen_kino,Eine etwas andere Chorstunde Einen lustigen Kinonachmittag mit Popcorn,Facebook - Münchner Knabenchor,https://www.facebook.com/photo/?fbid=1081824508529143&set=a.555223323076188,1,Unknown,,,,maybe,Eine etwas andere Chorstunde Einen lustigen Kinonachmittag mit Popcorn und Fanta verbrachte der Konzertchor am vergangenen Samstag,01_ORIGINAL_BY_YEAR\2016\2016-01-25_post_001_eine_etwas_andere_chorstunde_einen_lustigen_kino\caption_original.txt,01_ORIGINAL_BY_YEAR\2016\2016-01-25_post_001_eine_etwas_andere_chorstunde_einen_lustigen_kino\caption_ko.txt,,
